stat,r_self,r_within,r_next_margin,n_pairs,r_vs_ref,block_games,seasons
net_rtg_2h,0.5327560809625561,-0.14991108174341888,0.571477079715477,90,0.8702034108951398,20,2024-25
net_rtg_close,0.5309300323683053,-0.27614367785133237,0.5679200768634681,90,0.9014011956899886,20,2024-25
net_rtg_luckadj,0.6001366075709914,-0.25635869158330327,0.5628265096054683,90,0.8543490249328529,20,2024-25
off_rtg_nogarbage,0.660991978967961,-0.12023022664941142,0.5621823378886569,90,0.8244923382375813,20,2024-25
off_rtg,0.6431655773101908,-0.08626485858559986,0.5208374483300915,90,0.8046216632439952,20,2024-25
net_rtg_leading8,0.30388235152307097,-0.3256221764456344,0.49086466238697474,90,0.7454844310324045,20,2024-25
net_rtg_trailing8,0.403032238838214,0.000656856341972095,0.45994147100576943,90,0.6513616752495809,20,2024-25
efg,0.595874681526107,-0.23447572710632647,0.4378273508944016,90,0.6360016471526605,20,2024-25
largest_run_for,0.3356757224501134,-0.4046363039737832,0.3773025029338839,90,0.6388321895029666,20,2024-25
own_3p_luck_per100,0.35838385910841136,-0.2958842586637037,0.34577638280609235,90,0.524943986036744,20,2024-25
top_lineup_share,0.3886676315065918,-0.2584980693423548,0.34265973458556737,90,0.3747014075990412,20,2024-25
top3_lineup_share,0.5819411946272242,-0.22140845594130976,0.31503965882086954,90,0.349381584980691,20,2024-25
net_rtg_clutch,0.15537837521597245,-0.187842922895858,0.2276905313587316,82,0.35869983215682627,20,2024-25
mid_rate,0.6615576394602372,-0.10406704567333834,0.046808840275099343,90,-0.06423518420930609,20,2024-25
pace48,0.7324806760310519,-0.1413579858923216,0.03928620670024825,90,0.009701289207506236,20,2024-25
three_rate,0.7657389554566553,0.025003871017116423,0.021727334147924115,90,0.10104052904645847,20,2024-25
rim_rate,0.6297937051131131,-0.30820920563432985,-0.049310720138962136,90,-0.010353902497883007,20,2024-25
lead_changes,-0.09578680010816754,-0.35472675014074295,-0.05757442212622287,90,-0.04492164250192472,20,2024-25
opp_fg3_pct,-0.08226650102458091,-0.35616192566754595,-0.10607553695011121,90,-0.33830433664370213,20,2024-25
oreb_per100,0.5953815285689339,-0.36499806209992447,-0.11444521442612238,90,-0.042394310432240144,20,2024-25
fta_rate,0.22727138158317356,-0.24150616626092472,-0.12875515513920324,90,0.061257099302523765,20,2024-25
lineups_per100,0.7252144129211207,-0.16120219446993256,-0.33241645278794224,90,-0.3843165044393081,20,2024-25
largest_run_against,0.2726838337236447,-0.27324291306841564,-0.37791409826362266,90,-0.5157035861465584,20,2024-25
tov_rate,0.6304036434377979,0.03157041279219524,-0.41402109937336895,90,-0.5485180412310805,20,2024-25
def_rtg,0.48585236980648305,0.007022696962094683,-0.453371462755713,90,-0.742476498575621,20,2024-25
def_rtg_nogarbage,0.4727066588511592,-0.04333469096355051,-0.4699290661353919,90,-0.7559019296131777,20,2024-25
